title	content
‘Venom 3’ leads box office again, A24’s ‘Heretic’ scares up $11 million bebut in sleepy weekend	Venom: The Last Dance is looming over the domestic box office in its third weekend of release. The third and final installment in Sonys comic book trilogy has added $16.2 million from 3,905 North Ame… [+5004 chars]
Venom: The Last Dance Wins The Weekend Box Office Again As Heretic And The Best Christmas Pageant Ever Battle For Second Place	Kelly Marcel's Venom: The Last Dance got off to a complicated start at the box office, as ticket sales domestically and internationally both managed to betray expectations. That being said, it has ma… [+6626 chars]
Box Office Predictions: Venom 3 to lead a slow weekend	Heretic should manage to take second place if it’s not beaten by the faith-based holiday comedy, The Best Christmas Pageant Ever.   Another week, another ho-hum weekend at the box office. When the st… [+2134 chars]
'Heretic' debuts with $11 million, but 'Venom’ sequel tops box office again	New York  Venom: The Last Dance has not been a blockbuster in North American theaters. But in a lethargic fall moviegoing season, even a so-so performing superhero sequel can rule the box office for … [+4567 chars]
'Heretic' and Hugh Grant debut with $11 million, but 'Venom: The Last Dance' tops box office again	Venom: The Last Dance has been no blockbuster in North American theaters. But in a lethargic fall moviegoing season, even a so-so performing superhero sequel can rule the box office for three straigh… [+4223 chars]
Red One Is The New Number One Movie At The Box Office, But It Has A Rough Road Ahead Of It	November in 2024 can be described as backloaded at the box office. With Kelly Marcel's Venom: The Last Dance hitting theaters in late October and major studios giving it a good amount of runway (argu… [+6651 chars]
‘Heretic’ debuts with $11M, but ‘Venom: The Last Dance’ tops box office again	NEW YORK  Venom: The Last Dance has been no blockbuster in North American theaters. But in a lethargic fall moviegoing season, even a so-so performing superhero sequel can rule the box office for thr… [+4859 chars]
The Best Christmas Pageant Ever	Barbara Robinsons 1972 book about the worst children in the world taking all the lead roles in a church Christmas pageant has been lovingly adapted by director Dallas Jenkins into a warm-hearted film… [+5317 chars]
Box Office Report: Saint or Sinner?	In the battle of saints versus sinners at this box office, the former won, but still fell short of overtaking one man and his parasite boyfriend.   Three weeks into its domestic release, Venom: The L… [+2226 chars]
Venom: The Last Dance Wins The Weekend Again And Crosses A Box Office Milestone As Here Starring Tom Hanks Fails To Garner Much Buzz	Hollywood didn't exactly pull out the big guns for this past weekend. Thanks to Halloween being on a Thursday, there wasn't a big opportunity for a hot new horror movie to take advantage of the holid… [+6735 chars]
'Heretic' and Hugh Grant debut with $11 million, but 'Venom: The Last Dance' tops box office again	NEW YORK -- NEW YORK (AP) Venom: The Last Dance has been no blockbuster in North American theaters. But in a lethargic fall moviegoing season, even a so-so performing superhero sequel can rule the bo… [+4576 chars]
'Heretic' debuts with $11 million, but 'Venom: The Last Dance' tops box office again	NEW YORK -- NEW YORK (AP) Venom: The Last Dance has been no blockbuster in North American theaters. But in a lethargic fall moviegoing season, even a so-so performing superhero sequel can rule the bo… [+4576 chars]
[Removed]	[Removed]
[Removed]	[Removed]
Despite bad reviews, Venom 3 continues to dominate the box office in USA	"""Venom: The Last Dance"" has not been a box office hit in North American cinemas, but in a sluggish autumn cinema season, even a mediocre-performing superhero sequel can dominate the box office for th… [+5007 chars]"
'Heretic' and Hugh Grant debut with $11 million, but 'Venom: The Last Dance' tops box office again	NEW YORK (AP) Venom: The Last Dance has been no blockbuster in North American theaters. But in a lethargic fall moviegoing season, even a so-so performing superhero sequel can rule the box office for… [+4849 chars]
Box Office: ‘Venom 3’ No. 1 for 3rd Weekend, Mormon Missionary Horror ‘Heretic’ Opens to $11M	NEW YORK (AP) Venom: The Last Dance has been no blockbuster in North American theaters. But in a lethargic fall moviegoing season, even a so-so performing superhero sequel can rule the box office for… [+4562 chars]
'New Christmas Classic' Scores No. 3 Spot at Box Office, Moviegoers Give It High Marks	"The holiday season is officially here and ""The Best Christmas Pageant Ever"" finished at the number 3 spot at the box office this weekend earning more than $10 million.  Dallas Jenkins, the creator of… [+2715 chars]"
Review: The Best Christmas Pageant Ever	First published as a short story in McCalls magazine before being turned into a novel in 1972, the new feature film adaptation The Best Christmas Pageant Ever is the kind of feel-good, mildly Christi… [+2308 chars]
A24’s ‘Heretic’ Aims for $10 Million in Box Office Debut, ‘Venom 3’ Likely to Top Charts Again	“Venom: The Last Dance” may threepeat at the domestic box office despite the presence of two new nationwide releases.  A24’s horror thriller “Heretic” is targeting $8 million to $10 million from 3,20… [+2529 chars]
'Heretic' and Hugh Grant debut with $11 million, but 'Venom: The Last Dance' tops box office again	NEW YORKVenom: The Last Dance has been no blockbuster in North American theaters. But in a lethargic fall moviegoing season, even a so-so performing superhero sequel can rule the box office for three… [+4711 chars]
